prompt_id,prompt_text
tobacco_leaf,"Realistic photograph of dried tobacco leaves, golden-brown color, matte lighting, transparent background, full leaves visible, warm tonal balance."
incense,"Photorealistic photo of incense smoke rising from a neutral holder, soft curling lines of smoke, diffused daylight, transparent background, minimal editorial style."
juniper_berries,"Photorealistic close-up of juniper berries with needles, blue-black berries and green sprigs, natural daylight, transparent background, crisp focus."
leather,"Realistic macro photo of folded tan leather fabric, visible grain texture, soft matte daylight lighting, isolated on transparent background, elegant tactile feel."
cypriol_oil,"Photorealistic macro of cypriol roots and fibrous brown-green strands, diffused daylight, transparent background, natural earthy tone, dry clean arrangement."
peach,"Photorealistic macro of ripe peach fruit with slice, natural warm light, soft fuzz texture, transparent background, gentle shadow, minimal editorial look."
apple,"Photorealistic photo of fresh red apple with cut section, crisp daylight lighting, transparent background, clean composition, modern product photography."
coconut,"Realistic photo of half-open coconut showing white flesh, matte daylight, transparent background, full visible shape, editorial clean product photography style."
honey,"Photorealistic image of honey dripping from wooden honey dipper, golden tone, diffused daylight, transparent background, natural smooth texture."
cinnamon,"Photorealistic macro photo of cinnamon sticks tied with twine, soft daylight, transparent background, warm tones, fragrance ingredient photography style."
clove,"Realistic close-up of clove buds, warm brown tones, soft matte light, transparent background, natural composition."
nutmeg,"Photorealistic macro of nutmeg seeds, one whole and one cut open showing pattern, soft daylight, transparent background, clean elegant product style."
black_pepper,"Photorealistic macro of black peppercorns scattered, sharp daylight, transparent background, crisp editorial style, no cropping."
pine,"Photorealistic photo of pine branch with green needles and small cone, soft daylight, transparent background, clean isolated composition."
oakmoss,"Photorealistic macro of oakmoss lichen texture, green-gray tone, soft daylight, transparent background, detailed surface texture visible."
frankincense,"Photorealistic macro photo of frankincense resin tears, translucent golden color, soft diffused light, transparent background, clean minimal arrangement."
myrrh,"Photorealistic photo of myrrh resin pieces, amber-brown tone, matte daylight, transparent background, elegant minimal composition."
labdanum,"Photorealistic macro of labdanum resin chunks, warm brown amber tone, soft daylight, transparent background, natural organic texture visible."
ambergris,"Photorealistic macro of ambergris piece, gray-beige organic material with rough texture, soft daylight, transparent background, minimal editorial style."
sea_salt,"Photorealistic macro of sea salt crystals, white translucent texture, soft daylight, transparent background, crisp clean appearance."
sage,"Photorealistic macro of sage leaves, fuzzy green texture, diffused daylight, transparent background, elegant minimal composition."
thyme,"Photorealistic macro of thyme sprigs, fine green leaves, soft daylight, transparent background, clean fragrance photography style."
mint,"Photorealistic macro of mint leaves, bright green texture, fresh daylight, transparent background, crisp editorial look."
basil,"Photorealistic macro of basil leaves, vivid green color, matte daylight, transparent background, full visible leaves."
coriander,"Photorealistic macro of coriander seeds, warm golden tone, diffused daylight, transparent background, clean minimal layout."
anise,"Realistic macro photo of star anise pods, rich brown tone, diffused daylight, transparent background, centered composition, crisp focus."
chocolate,"Photorealistic macro of dark chocolate squares, matte lighting, transparent background, soft shadow, premium editorial style."
coffee,"Photorealistic macro photo of roasted coffee beans, rich brown tone, soft daylight, transparent background, crisp texture, elegant product look."
