prompt_id,prompt_text,aspect_ratio,style
moodnose_icon_coconut,"Vector icon of a halved coconut: oval with inner ring cutout for flesh; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_honey,"Vector icon of a honey droplet or hex cell cluster (3 cells); flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_cinnamon,"Vector icon of two cinnamon sticks: parallel rounded capsules with a curled tip hint; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_clove,"Vector icon of a clove bud: small nail-like head with four tiny lobes; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_nutmeg,"Vector icon of nutmeg: oval seed with a single interior lace cutout; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_black_pepper,"Vector icon of black pepper: three small round peppercorns cluster; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_pine,"Vector icon of a pine sprig: short needles radiating from a mini cone; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_oakmoss,"Vector icon of oakmoss: irregular lobed lichen cluster silhouette; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_frankincense,"Vector icon of resin beads: three rounded pebble shapes grouped simply; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_myrrh,"Vector icon of myrrh chunks: two faceted pebble shapes with one inner notch; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_labdanum,"Vector icon of labdanum resin: organic rounded triangle droplet with tiny inner notch; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_ambergris,"Vector icon of ambergris: smooth irregular pebble silhouette with one interior swirl cut; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_sea_salt,"Vector icon of sea salt: three rhombus crystals, simple facets implied with one inner cut; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_sage,"Vector icon of a sage leaf: elongated oval with soft tip and one mid-vein cut; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_thyme,"Vector icon of a thyme sprig: short stem with 4–5 tiny oval leaves; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_mint,"Vector icon of mint: two opposite serrated leaves as one silhouette with mid-vein cut; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_basil,"Vector icon of basil: paired broad leaves from a small node; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_coriander,"Vector icon of coriander seeds: three small oval seeds cluster with a single seam mark each; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_star_anise,"Vector icon of star anise: 6–8 pointed star outline with solid core; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_chocolate,"Vector icon of chocolate: two offset squares with one diagonal break line; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_coffee,"Vector icon of coffee beans: two oval beans with split line; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
